Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst
Li2MoGaO3Cl3,2.09952,-1.82116,2.65079,30.00000,16.23994,0.04767,0.03684,0.07597
Na2TiInO3Cl3,2.10481,-2.15071,2.21274,30.00000,16.16312,0.04776,0.03677,0.07593
Na2WInO3F3,2.10678,-2.34548,1.89613,30.00000,16.12029,0.04778,0.03673,0.07629
K2SnGeO3S3,2.05950,-1.62947,8.31162,30.00000,17.00765,0.04778,0.03730,0.07481
Na2ZrFeO3F3,2.12641,-2.74728,0.07058,30.00000,15.83221,0.04778,0.03671,0.07744
Na2FeMnS3I3,0.94627,-1.01398,0.42805,30.00000,15.90252,0.04782,0.03385,0.49500
Rb2CrMnO6,1.79616,-2.00829,41.20262,30.00000,21.73360,0.04785,0.04007,0.06779
K2SbCuSe3Br3,0.93732,-1.13042,0.24908,30.00000,15.75470,0.04789,0.03382,0.49458
K2ZrFeO3F3,2.12830,-2.77343,0.08685,30.00000,15.76235,0.04791,0.03676,0.07743
Rb2SnSbO3F3,1.88889,-2.37411,29.99959,30.00000,20.09836,0.04792,0.03902,0.07023
Rb2MoWO3S3,1.92779,-1.62719,26.08841,30.00000,19.42985,0.04795,0.03882,0.07126
Na2TiCrO6,2.13369,-2.65147,0.03498,30.00000,15.70484,0.04798,0.03685,0.07728
K2GeInO3Cl3,2.05409,-1.83374,9.99111,30.00000,17.12835,0.04801,0.03757,0.07511
Rb2SnGeBr3I3,0.98012,-1.28927,19.43111,30.00000,18.65369,0.04803,0.03648,0.56829
Rb2CrMoO3S3,1.87171,-1.74902,33.41241,30.00000,20.37452,0.04809,0.03942,0.07034
K2TiInO3Cl3,2.12073,-2.22540,2.05173,30.00000,15.91391,0.04813,0.03703,0.07804
K2TiMoO6,2.13731,-2.76802,0.23759,30.00000,15.61183,0.04819,0.03687,0.07825
Na2SbCuSe3I3,0.94168,-0.77865,0.50910,30.00000,15.68104,0.04823,0.03385,0.49410
Rb2GeGaSe3Cl3,1.90512,-1.30333,30.02446,30.00000,19.84419,0.04824,0.03925,0.07114
K2SnBiO3F3,2.13632,-2.34732,0.22900,30.00000,15.63048,0.04824,0.03687,0.07868
K2SnVO3F3,2.13651,-2.67238,0.19317,30.00000,15.64379,0.04825,0.03697,0.07848
K2GeMoO3S3,2.06676,-1.65250,8.86629,30.00000,16.84110,0.04825,0.03750,0.07601
Na2MoGaO3Cl3,2.12265,-1.78762,2.41629,30.00000,15.90291,0.04835,0.03705,0.07739
Rb2GeGaS3Br3,1.91020,-1.26495,30.22254,30.00000,19.76638,0.04836,0.03931,0.07162
Rb2TaFeO3F3,1.90281,-2.81408,30.68753,30.00000,19.81824,0.04836,0.03921,0.07141
Li2MoGaO3F3,2.11908,-2.34626,3.11232,30.00000,15.94303,0.04837,0.03722,0.07813
Cs2WBiSe3I3,1.36680,-1.05184,68.37245,30.00000,25.40452,0.04844,0.04254,0.07756
Rb2TaZnO3F3,1.91502,-2.76836,30.12876,30.00000,19.66073,0.04844,0.03931,0.07186
Na2SnBiO3F3,2.14005,-2.25027,0.22843,30.00000,15.50564,0.04853,0.03694,0.07889
K2SnTaO3F3,2.14284,-2.72406,0.78570,30.00000,15.52314,0.04862,0.03708,0.07984
Rb2NbMnO3Cl3,1.89818,-2.20538,32.63707,30.00000,19.93340,0.04863,0.03955,0.07207
K2GeCrO3F3,2.06208,-2.41154,11.05336,30.00000,16.87007,0.04869,0.03782,0.07682
Rb2SnFeO3S3,1.91624,-1.60380,31.53203,30.00000,19.66879,0.04871,0.03951,0.07235
Na2TiMoO6,2.15166,-2.67059,0.23761,30.00000,15.36482,0.04873,0.03709,0.08024
K2GeCuBr6,0.94293,-1.35647,4.93055,30.00000,16.07694,0.04876,0.03453,0.51306
