Target_Bandgap_eV,ML_MAE_eV,PCE_Current,PCE_Future,Percent_SQ_Current,Percent_SQ_Future,LCOE_Penalty_Current,LCOE_Penalty_Future
1.00833,0.22500,0.16833,0.20935,67.44315,83.87864,0.00390,0.00064
1.06250,0.22500,0.19440,0.23210,69.58303,83.07783,0.00207,0.00088
1.11667,0.22500,0.20348,0.24990,66.78620,82.02300,0.00467,0.00114
1.17083,0.22500,0.21059,0.25936,65.84453,81.09213,0.00545,0.00138
1.22500,0.22500,0.21721,0.26386,65.82060,79.95650,0.00542,0.00154
1.27917,0.22500,0.21938,0.26715,65.61641,79.90671,0.00517,0.00154
1.33333,0.22500,0.22071,0.26843,65.52551,79.69218,0.00508,0.00148
1.38750,0.22500,0.22018,0.26800,65.80014,80.08852,0.00493,0.00128
1.44167,0.22500,0.21862,0.26695,66.53489,81.24275,0.00410,0.00109
1.49583,0.22500,0.21617,0.26384,67.22885,82.05613,0.00298,0.00091
1.55000,0.22500,0.21234,0.25915,68.16536,83.19331,0.00275,0.00063
1.60417,0.22500,0.20750,0.25174,68.90701,83.59881,0.00179,0.00050
1.65833,0.22500,0.20055,0.24478,69.21325,84.48086,0.00083,0.00040
1.71250,0.22500,0.19396,0.23627,69.73987,84.95253,0.00050,0.00021
1.76667,0.22500,0.18491,0.22618,69.60160,85.13744,0.00049,0.00008
1.82083,0.22500,0.17690,0.21557,69.86238,85.13540,0.00029,0.00000
1.87500,0.22500,0.16894,0.20466,70.17033,85.00812,0.00000,0.00006
1.92917,0.22500,0.15963,0.19416,69.83303,84.94216,0.00066,0.00012
1.98333,0.22500,0.15226,0.18551,70.27480,85.62153,0.00000,0.00000
2.03750,0.22500,0.14340,0.17389,70.03474,84.92877,0.00032,0.00003
2.09167,0.22500,0.13620,0.16461,70.62902,85.36156,0.00000,0.00000
2.14583,0.22500,0.12773,0.15450,70.42197,85.18085,0.00000,0.00000
2.20000,0.22500,0.12000,0.14518,70.58971,85.40131,0.00000,0.00000
0.90000,0.25000,0.10370,0.12068,71.51473,83.23013,0.00000,0.00073
0.95417,0.25000,0.13890,0.16754,69.74194,84.11891,0.00000,0.00059
1.00833,0.25000,0.16994,0.20997,68.09100,84.12996,0.00399,0.00073
1.06250,0.25000,0.18881,0.23379,67.58167,83.68448,0.00408,0.00072
1.11667,0.25000,0.20167,0.24681,66.19289,81.00998,0.00533,0.00154
1.17083,0.25000,0.20944,0.25512,65.48421,79.76605,0.00618,0.00172
1.22500,0.25000,0.21434,0.26045,64.95290,78.92441,0.00616,0.00183
1.27917,0.25000,0.21746,0.26412,65.04406,78.99918,0.00623,0.00186
1.33333,0.25000,0.21801,0.26518,64.72236,78.72798,0.00645,0.00178
1.38750,0.25000,0.21760,0.26622,65.02912,79.55635,0.00568,0.00148
1.44167,0.25000,0.21716,0.26431,66.09022,80.44077,0.00471,0.00139
1.49583,0.25000,0.21419,0.26166,66.61403,81.37588,0.00412,0.00113
1.55000,0.25000,0.21102,0.25728,67.74320,82.59309,0.00293,0.00079
1.60417,0.25000,0.20555,0.25048,68.25921,83.18289,0.00218,0.00070
1.65833,0.25000,0.19994,0.24271,69.00424,83.76367,0.00126,0.00042
1.71250,0.25000,0.19302,0.23471,69.40038,84.39145,0.00080,0.00027
1.76667,0.25000,0.18515,0.22508,69.69221,84.72391,0.00079,0.00010
1.82083,0.25000,0.17620,0.21487,69.58499,84.85937,0.00089,0.00017
1.87500,0.25000,0.16841,0.20609,69.95110,85.60471,0.00000,0.00000
1.92917,0.25000,0.16010,0.19534,70.03918,85.45712,0.00000,0.00000
1.98333,0.25000,0.15204,0.18289,70.17369,84.40928,0.00000,0.00034
2.03750,0.25000,0.14298,0.17349,69.83366,84.73039,0.00000,0.00011
2.09167,0.25000,0.13512,0.16581,70.07167,85.98845,0.00000,0.00000
2.14583,0.25000,0.12752,0.15497,70.30954,85.43993,0.00000,0.00000
2.20000,0.25000,0.11971,0.14567,70.41881,85.68988,0.00000,0.00000
0.90000,0.27500,0.10822,0.12744,74.63381,87.88942,0.00000,0.00000
0.95417,0.27500,0.13516,0.16373,67.86415,82.20536,0.00390,0.00114
1.00833,0.27500,0.17069,0.21022,68.39031,84.22922,0.00336,0.00052
1.06250,0.27500,0.18791,0.23272,67.25946,83.30082,0.00477,0.00094
1.11667,0.27500,0.20094,0.24677,65.95293,80.99544,0.00593,0.00157
1.17083,0.27500,0.20676,0.25308,64.64551,79.12982,0.00705,0.00203
1.22500,0.27500,0.21132,0.25785,64.03767,78.13524,0.00751,0.00196
1.27917,0.27500,0.21440,0.26162,64.12813,78.25008,0.00727,0.00193
1.33333,0.27500,0.21491,0.26278,63.80364,78.01337,0.00731,0.00205
1.38750,0.27500,0.21527,0.26318,64.33165,78.64983,0.00648,0.00191
1.44167,0.27500,0.21430,0.26131,65.21822,79.52604,0.00562,0.00157
1.49583,0.27500,0.21218,0.25825,65.98740,80.31543,0.00482,0.00140
