ML_MAE_eV,Achieved_PCE_Percent,SQ_Saturation_Percent,LCOE_Penalty_Current,LCOE_Penalty_Future
0.44425,27.80919,99.14601,0.00036,0.00003
0.03222,27.97607,99.74096,0.00011,0.00001
0.48219,27.90361,99.48262,0.00022,0.00002
0.06326,27.89494,99.45171,0.00023,0.00002
0.22651,27.62335,98.48344,0.00065,0.00006
0.01523,28.04923,100.00180,0.00000,0.00000
0.27743,27.29354,97.30760,0.00117,0.00010
0.26792,27.25568,97.17260,0.00123,0.00010
0.33393,27.78995,99.07741,0.00039,0.00003
0.46112,27.18023,96.90361,0.00135,0.00011
0.07138,28.01718,99.88754,0.00005,0.00000
0.48985,25.41080,90.59520,0.00438,0.00037
0.57664,28.04934,100.00221,0.00000,0.00000
0.09950,27.94877,99.64365,0.00015,0.00001
0.11820,28.04311,99.97998,0.00001,0.00000
0.16820,27.61533,98.45483,0.00066,0.00006
0.56149,22.15096,78.97313,0.01124,0.00096
0.59426,27.71883,98.82384,0.00050,0.00004
0.52580,27.57287,98.30346,0.00073,0.00006
0.57887,23.99321,85.54118,0.00714,0.00061
0.17833,27.91280,99.51539,0.00021,0.00002
0.49813,0.50000,1.78261,2.32679,0.19770
0.17120,27.98758,99.78201,0.00009,0.00001
0.03816,28.03183,99.93975,0.00003,0.00000
0.03327,28.03514,99.95156,0.00002,0.00000
0.52583,27.58816,98.35797,0.00071,0.00006
0.51282,24.28558,86.58355,0.00654,0.00056
0.38368,27.25311,97.16344,0.00123,0.00010
0.01654,28.04991,100.00423,0.00000,0.00000
0.54598,23.79213,84.82427,0.00756,0.00064
0.33018,28.04979,100.00381,0.00000,0.00000
0.11210,28.03992,99.96862,0.00001,0.00000
0.49950,0.50000,1.78261,2.32679,0.19770
0.29205,27.94853,99.64279,0.00015,0.00001
0.24502,0.50000,1.78261,2.32679,0.19770
0.02371,28.04777,99.99659,0.00000,0.00000
0.25201,27.93305,99.58758,0.00017,0.00001
0.08658,28.05000,100.00455,0.00000,0.00000
0.28115,27.39325,97.66307,0.00101,0.00009
0.40205,26.10828,93.08188,0.00314,0.00027
0.55905,27.78938,99.07538,0.00039,0.00003
0.57745,28.02803,99.92620,0.00003,0.00000
0.51848,27.04377,96.41712,0.00157,0.00013
0.18951,27.97657,99.74276,0.00011,0.00001
0.14230,28.01868,99.89290,0.00005,0.00000
0.04370,28.04617,99.99088,0.00000,0.00000
0.16333,27.63066,98.50951,0.00064,0.00005
0.39800,26.78399,95.49094,0.00199,0.00017
0.54844,24.13022,86.02964,0.00686,0.00058
0.15123,27.92140,99.54605,0.00019,0.00002
0.37108,26.94594,96.06831,0.00173,0.00015
0.50640,0.50000,1.78261,2.32679,0.19770
0.51435,27.36497,97.56227,0.00106,0.00009
0.06647,28.03646,99.95628,0.00002,0.00000
0.15486,27.63809,98.53600,0.00063,0.00005
0.35143,26.78099,95.48022,0.00200,0.00017
0.00410,28.04864,99.99970,0.00000,0.00000
0.02114,28.04850,99.99919,0.00000,0.00000
0.52300,0.50000,1.78261,2.32679,0.19770
0.51274,27.91405,99.51986,0.00020,0.00002
0.12785,28.04294,99.97936,0.00001,0.00000
0.58907,27.68390,98.69933,0.00056,0.00005
0.59571,12.80135,45.63967,0.05030,0.00427
0.07235,27.51648,98.10242,0.00082,0.00007
0.30691,25.80428,91.99806,0.00367,0.00031
0.26430,27.91402,99.51973,0.00020,0.00002
0.23867,28.02496,99.91529,0.00004,0.00000
0.38420,24.04052,85.70984,0.00704,0.00060
0.26825,27.84053,99.25775,0.00032,0.00003
0.05087,28.03095,99.93663,0.00003,0.00000
0.41268,23.20303,82.72400,0.00882,0.00075
0.05742,27.99747,99.81726,0.00008,0.00001
0.17764,27.78308,99.05293,0.00040,0.00003
0.10726,28.04812,99.99785,0.00000,0.00000
0.25765,27.83374,99.23352,0.00033,0.00003
0.57909,0.50000,1.78261,2.32679,0.19770
0.59520,22.30404,79.51890,0.01088,0.00092
0.06082,28.01854,99.89238,0.00005,0.00000
0.48990,28.02243,99.90625,0.00004,0.00000
0.33360,27.72787,98.85609,0.00049,0.00004
0.39425,27.96967,99.71815,0.00012,0.00001
0.59652,0.50000,1.78261,2.32679,0.19770
0.42547,28.03206,99.94058,0.00003,0.00000
0.18197,27.84186,99.26249,0.00031,0.00003
0.46420,0.50000,1.78261,2.32679,0.19770
0.04510,28.03788,99.96132,0.00002,0.00000
