Formula,Predicted_Bandgap_eV,Predicted_Ef_eV_atom,Active_Material_Cost_m2,Panel_Lifetime_Years,Derate_Factor,Delta_Chi,Tolerance_Factor,Mu_Ratio,PCE_Median,LCOE_Median,LCOE_Q10_Best,LCOE_Q90_Worst,PCE_Old_Median,LCOE_Old_Median,Rank_Old,Rank_New,Rank_Delta
Na2SnNbSe3Cl3,1.37021,-1.40577,0.30457,30.00000,0.82663,0.61000,0.90736,0.35092,24.68013,0.03732,0.03325,0.05525,25.38039,0.03676,17.00000,339.00000,-322.00000
Na2SbZnSe3Br3,1.40190,-1.12324,0.24115,30.00000,0.83076,0.41000,0.89995,0.34010,24.78221,0.03720,0.03318,0.05199,25.34678,0.03676,17.00000,273.00000,-256.00000
K2CrWS3Se3,1.42621,-1.17858,0.27013,30.00000,0.85000,0.03000,0.99711,0.31806,25.33101,0.03678,0.03284,0.04990,25.32325,0.03677,19.00000,27.00000,-8.00000
K2MoSbSe3F3,1.35250,-1.86986,0.39572,30.00000,0.78004,1.43000,1.03698,0.36170,23.25488,0.03855,0.03419,0.06014,25.41208,0.03677,19.00000,851.00000,-832.00000
Na2NbCuO3F3,1.36022,-2.44936,0.16458,30.00000,0.85000,0.54000,0.95147,0.50554,25.40802,0.03676,0.03281,0.05532,25.36078,0.03677,19.00000,14.00000,5.00000
K2FeMnO3S3,1.44035,-1.62011,0.04650,30.00000,0.85000,0.86000,1.01773,0.39815,25.28946,0.03677,0.03283,0.04933,25.28225,0.03677,19.00000,23.00000,-4.00000
Na2CrWSe3I3,1.40084,-1.07097,0.47266,30.00000,0.81057,0.11000,0.91223,0.29067,24.16782,0.03774,0.03359,0.05308,25.36728,0.03677,19.00000,553.00000,-534.00000
K2VSbS6,1.35304,-1.08260,0.22106,30.00000,0.85000,0.00000,1.02105,0.30978,25.40773,0.03678,0.03282,0.05644,25.33082,0.03677,19.00000,25.00000,-6.00000
Na2TiMoS6,1.43017,-1.35568,0.20613,30.00000,0.85000,0.00000,0.93701,0.32473,25.32254,0.03678,0.03284,0.04974,25.32305,0.03677,19.00000,26.00000,-7.00000
K2VCuSe3F3,1.36627,-1.96727,0.29631,30.00000,0.80406,1.43000,1.01879,0.38602,23.99538,0.03788,0.03368,0.05689,25.37615,0.03678,26.00000,614.00000,-588.00000
Na2WFeS3Br3,1.43847,-1.11708,0.10756,30.00000,0.83427,0.38000,0.92225,0.32763,24.81672,0.03714,0.03311,0.05006,25.30039,0.03678,26.00000,236.00000,-210.00000
